Subject,Topic,Paper Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Reference Book
Obstetrics,Postpartum Hemorrhage Management,1,What is a key characteristic of Postpartum Hemorrhage Management?,Characteristic A related to Postpartum Hemorrhage Management,Characteristic B related to Postpartum Hemorrhage Management,Characteristic C related to Postpartum Hemorrhage Management,Correct characteristic of Postpartum Hemorrhage Management,D,This is the correct explanation for the characteristic of Postpartum Hemorrhage Management.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Biochemistry,Lipid Metabolism and Storage,1,What is a key characteristic of Lipid Metabolism and Storage?,Characteristic A related to Lipid Metabolism and Storage,Characteristic B related to Lipid Metabolism and Storage,Characteristic C related to Lipid Metabolism and Storage,Correct characteristic of Lipid Metabolism and Storage,D,This is the correct explanation for the characteristic of Lipid Metabolism and Storage.,HARD,Gray's Anatomy
Physiology,Nervous System Neurotransmitters,1,What is a key characteristic of Nervous System Neurotransmitters?,Characteristic A related to Nervous System Neurotransmitters,Characteristic B related to Nervous System Neurotransmitters,Characteristic C related to Nervous System Neurotransmitters,Correct characteristic of Nervous System Neurotransmitters,D,This is the correct explanation for the characteristic of Nervous System Neurotransmitters.,EASY,Forensic Medicine: A Guide to Principles
Obstetrics,Pre-eclampsia and Eclampsia,1,What is a key characteristic of Pre-eclampsia and Eclampsia?,Characteristic A related to Pre-eclampsia and Eclampsia,Characteristic B related to Pre-eclampsia and Eclampsia,Characteristic C related to Pre-eclampsia and Eclampsia,Correct characteristic of Pre-eclampsia and Eclampsia,D,This is the correct explanation for the characteristic of Pre-eclampsia and Eclampsia.,HARD,Forensic Medicine: A Guide to Principles
Anatomy,Amniotic Fluid Dynamics,1,What is a key characteristic of Amniotic Fluid Dynamics?,Characteristic A related to Amniotic Fluid Dynamics,Characteristic B related to Amniotic Fluid Dynamics,Characteristic C related to Amniotic Fluid Dynamics,Correct characteristic of Amniotic Fluid Dynamics,D,This is the correct explanation for the characteristic of Amniotic Fluid Dynamics.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Surgery,Trauma and Emergency Management,1,What is a key characteristic of Trauma and Emergency Management?,Characteristic A related to Trauma and Emergency Management,Characteristic B related to Trauma and Emergency Management,Characteristic C related to Trauma and Emergency Management,Correct characteristic of Trauma and Emergency Management,D,This is the correct explanation for the characteristic of Trauma and Emergency Management.,HARD,Forensic Medicine: A Guide to Principles
Physiology,Endocrine Hormones and Feedback,1,What is a key characteristic of Endocrine Hormones and Feedback?,Characteristic A related to Endocrine Hormones and Feedback,Characteristic B related to Endocrine Hormones and Feedback,Characteristic C related to Endocrine Hormones and Feedback,Correct characteristic of Endocrine Hormones and Feedback,D,This is the correct explanation for the characteristic of Endocrine Hormones and Feedback.,MEDIUM,Goodman & Gilman's Pharmacological Basis of Therapeutics
Pathology,Genetic Disorders and Mutations,1,What is a key characteristic of Genetic Disorders and Mutations?,Characteristic A related to Genetic Disorders and Mutations,Characteristic B related to Genetic Disorders and Mutations,Characteristic C related to Genetic Disorders and Mutations,Correct characteristic of Genetic Disorders and Mutations,D,This is the correct explanation for the characteristic of Genetic Disorders and Mutations.,EASY,Lehninger Principles of Biochemistry
Pathology,Infectious Disease Pathogenesis,1,What is a key characteristic of Infectious Disease Pathogenesis?,Characteristic A related to Infectious Disease Pathogenesis,Characteristic B related to Infectious Disease Pathogenesis,Characteristic C related to Infectious Disease Pathogenesis,Correct characteristic of Infectious Disease Pathogenesis,D,This is the correct explanation for the characteristic of Infectious Disease Pathogenesis.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Microbiology,Bacterial Cell Wall Structure,2,What is a key characteristic of Bacterial Cell Wall Structure?,Characteristic A related to Bacterial Cell Wall Structure,Characteristic B related to Bacterial Cell Wall Structure,Characteristic C related to Bacterial Cell Wall Structure,Correct characteristic of Bacterial Cell Wall Structure,D,This is the correct explanation for the characteristic of Bacterial Cell Wall Structure.,MEDIUM,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Pharmacology,Mechanism of Action of Antibiotics,1,What is a key characteristic of Mechanism of Action of Antibiotics?,Characteristic A related to Mechanism of Action of Antibiotics,Characteristic B related to Mechanism of Action of Antibiotics,Characteristic C related to Mechanism of Action of Antibiotics,Correct characteristic of Mechanism of Action of Antibiotics,D,This is the correct explanation for the characteristic of Mechanism of Action of Antibiotics.,HARD,Schwartz's Principles of Surgery
Anatomy,Pelvic Diaphragm,1,Which muscle forms the major part of the pelvic diaphragm and is most susceptible to injury during vaginal delivery?,Piriformis,Levator ani,Obturator internus,Coccygeus,B,The Levator ani (specifically the pubococcygeus/puborectalis) forms the floor and supports pelvic viscera.,MEDIUM,Ten Teachers
Physiology,Fetal Circulation,1,"In fetal circulation, the highest oxygen saturation is found in which of the following vessels?",Umbilical artery,Descending aorta,Ductus venosus,Pulmonary artery,C,"Blood from the umbilical vein (80% saturated) enters the ductus venosus directly, bypassing the liver to reach the IVC.",HARD,Ten Teachers
Obstetrics,Pre-eclampsia,2,"According to the latest guidelines, what is the definitive ""cure"" for severe pre-eclampsia?",Magnesium Sulfate,IV Hydralazine,Delivery of the placenta,Bed rest and sedation,C,"While symptoms are managed with drugs, the pathophysiology is placental; thus, delivery of the placenta is the only cure.",EASY,Dewhurst
Gynaecology,Ectopic Pregnancy,2,What is the most common site for an ectopic pregnancy implantation?,Ampulla of the fallopian tube,Isthmus of the fallopian tube,Fimbria,Cervix,A,Approximately 70% of tubal pregnancies occur in the ampullary region.,EASY,Ten Teachers
Pharmacology,Tocolytics,1,Which of the following drugs acts as a calcium channel blocker to inhibit preterm labor contractions?,Nifedipine,Indomethacin,Atosiban,Salbutamol,A,"Nifedipine blocks the influx of calcium ions into uterine smooth muscle, leading to relaxation.",MEDIUM,Dewhurst
Anatomy,Uterine Artery,1,The uterine artery is a branch of which major blood vessel?,External iliac artery,Internal iliac artery,Abdominal aorta,Femoral artery,B,It arises from the anterior division of the internal iliac artery (hypogastric artery).,EASY,Ten Teachers
Obstetrics,Third Stage of Labor,2,Active management of the third stage of labor (AMTSL) is primarily performed to prevent which complication?,Shoulder Dystocia,Postpartum Hemorrhage (PPH),Uterine Inversion,Retained Placenta,B,"AMTSL (oxytocin, controlled cord traction) reduces the risk of PPH by nearly 60%.",EASY,Dewhurst
Pathology,Gestational Trophoblastic Disease,1,"What is the classic ""snowstorm"" appearance on ultrasound indicative of?",Twin pregnancy,Ectopic pregnancy,Hydatidiform mole,Endometrial polyps,C,The vesicular swelling of chorionic villi creates the characteristic multi-cystic snowstorm pattern.,MEDIUM,Ten Teachers
Anatomy,Ureteric Relations,1,"During a hysterectomy, the ureter is most commonly injured at which anatomical location?",At the pelvic brim,Near the ischial spine,Under the uterine artery,At the bladder entry,C,The ureter passes 'water under the bridge' (under the uterine artery) and is at high risk during ligation.,HARD,Ten Teachers
Anatomy,Pudendal Nerve,1,"To perform a successful pudendal nerve block, which bony landmark must be palpated?",Ischial Tuberosity,Ischial Spine,Coccyx,Pubic Symphysis,B,The nerve enters the perineum by crossing the sacrospinous ligament near the ischial spine.,MEDIUM,Ten Teachers
Physiology,Menstrual Cycle,1,"Which hormone is primarily responsible for the ""LH Surge"" leading to ovulation?",Progesterone,Inhibin B,Oestradiol,Testosterone,C,Sustained high levels of oestradiol exert a positive feedback effect on the pituitary to trigger LH.,MEDIUM,Dewhurst
Pharmacology,Antihypertensives,1,Which antihypertensive is absolutely contraindicated in pregnancy due to its risk of fetal renal dysgenesis?,Labetalol,Methyldopa,Enalapril (ACE-I),Nifedipine,C,ACE Inhibitors are teratogenic and cause fetal oligohydramnios and renal failure.,EASY,Ten Teachers
Pathology,Cervical Cancer,1,Which HPV strains are most frequently associated with the development of Cervical Carcinoma?,6 and 11,1 and 2,16 and 18,31 and 33,C,HPV 16 and 18 are responsible for approximately 70% of cervical cancers globally.,EASY,Ten Teachers
Obstetrics,Postpartum Hemorrhage,2,A patient presents with heavy bleeding and a 'boggy' uterus after delivery. What is the first-line pharmacological treatment?,Ergometrine,Carboprost,Oxytocin,Misoprostol,C,Oxytocin is the first-line agent for uterine atony; Ergometrine is second-line if no hypertension.,EASY,Dewhurst
Obstetrics,Fetal Growth,2,Symmetrical fetal growth restriction (IUGR) is most commonly associated with which of the following?,Placental Insufficiency,Smoking,Chromosomal anomalies,Preeclampsia,C,"Symmetrical IUGR implies an early insult, often genetic or infectious.",MEDIUM,Dewhurst
Gynaecology,Polycystic Ovary Syndrome,2,"According to the Rotterdam Criteria, which of the following is NOT a requirement for PCOS diagnosis?",Polycystic ovaries on USG,Hyperandrogenism,Elevated Prolactin,Oligo-ovulation,C,Prolactin is used for differential diagnosis but is not part of the PCOS criteria.,MEDIUM,Ten Teachers
Gynaecology,Endometriosis,2,What is the definitive method for the diagnosis of pelvic endometriosis?,Pelvic MRI,CA-125 levels,Laparoscopy,Transvaginal USG,C,Direct visualization and biopsy via laparoscopy is the gold standard for diagnosis.,EASY,Ten Teachers
Physiology,Prolactin,1,Which neurotransmitter is the primary inhibitor of prolactin secretion from the anterior pituitary?,Serotonin,Acetylcholine,Dopamine,Norepinephrine,C,Dopamine (Prohibition Factor) is secreted by the hypothalamus to inhibit prolactin.,EASY,Dewhurst
Anatomy,Pudendal Nerve,2,What is a key aspect of Pudendal Nerve in the context of Anatomy?,Aspect A related to Pudendal Nerve,Aspect B related to Pudendal Nerve,Aspect C related to Pudendal Nerve,Correct aspect of Pudendal Nerve,D,This is the correct explanation for the aspect of Pudendal Nerve in Anatomy.,HARD,Guyton and Hall Textbook of Medical Physiology
Surgery,Postoperative Care Protocols,1,What is a key aspect of Postoperative Care Protocols in the context of Surgery?,Aspect A related to Postoperative Care Protocols,Aspect B related to Postoperative Care Protocols,Aspect C related to Postoperative Care Protocols,Correct aspect of Postoperative Care Protocols,D,This is the correct explanation for the aspect of Postoperative Care Protocols in Surgery.,MEDIUM,Gray's Anatomy
Forensic Medicine,Forensic Pathology Techniques,1,What is a key aspect of Forensic Pathology Techniques in the context of Forensic Medicine?,Aspect A related to Forensic Pathology Techniques,Aspect B related to Forensic Pathology Techniques,Aspect C related to Forensic Pathology Techniques,Correct aspect of Forensic Pathology Techniques,D,This is the correct explanation for the aspect of Forensic Pathology Techniques in Forensic Medicine.,EASY,Gray's Anatomy
Pharmacology,Antiemetics,1,What is a key aspect of Antiemetics in the context of Pharmacology?,Aspect A related to Antiemetics,Aspect B related to Antiemetics,Aspect C related to Antiemetics,Correct aspect of Antiemetics,D,This is the correct explanation for the aspect of Antiemetics in Pharmacology.,EASY,Guyton and Hall Textbook of Medical Physiology
Microbiology,Parasitic Life Cycles,1,What is a key aspect of Parasitic Life Cycles in the context of Microbiology?,Aspect A related to Parasitic Life Cycles,Aspect B related to Parasitic Life Cycles,Aspect C related to Parasitic Life Cycles,Correct aspect of Parasitic Life Cycles,D,This is the correct explanation for the aspect of Parasitic Life Cycles in Microbiology.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Pathology,Autoimmune Diseases,2,What is a key aspect of Autoimmune Diseases in the context of Pathology?,Aspect A related to Autoimmune Diseases,Aspect B related to Autoimmune Diseases,Aspect C related to Autoimmune Diseases,Correct aspect of Autoimmune Diseases,D,This is the correct explanation for the aspect of Autoimmune Diseases in Pathology.,HARD,Forensic Medicine: A Guide to Principles
Pathology,Cervical Cancer,1,What is a key aspect of Cervical Cancer in the context of Pathology?,Aspect A related to Cervical Cancer,Aspect B related to Cervical Cancer,Aspect C related to Cervical Cancer,Correct aspect of Cervical Cancer,D,This is the correct explanation for the aspect of Cervical Cancer in Pathology.,MEDIUM,Schwartz's Principles of Surgery
Surgery,Surgical Techniques and Innovations,2,What is a key aspect of Surgical Techniques and Innovations in the context of Surgery?,Aspect A related to Surgical Techniques and Innovations,Aspect B related to Surgical Techniques and Innovations,Aspect C related to Surgical Techniques and Innovations,Correct aspect of Surgical Techniques and Innovations,D,This is the correct explanation for the aspect of Surgical Techniques and Innovations in Surgery.,HARD,Guyton and Hall Textbook of Medical Physiology
Obstetrics,Gestational Diabetes,2,What is a key aspect of Gestational Diabetes in the context of Obstetrics?,Aspect A related to Gestational Diabetes,Aspect B related to Gestational Diabetes,Aspect C related to Gestational Diabetes,Correct aspect of Gestational Diabetes,D,This is the correct explanation for the aspect of Gestational Diabetes in Obstetrics.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Surgery,Surgical Site Infections,1,What is a key aspect of Surgical Site Infections in the context of Surgery?,Aspect A related to Surgical Site Infections,Aspect B related to Surgical Site Infections,Aspect C related to Surgical Site Infections,Correct aspect of Surgical Site Infections,D,This is the correct explanation for the aspect of Surgical Site Infections in Surgery.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Anatomy,Perineal Muscles,1,What is a key aspect of Perineal Muscles in the context of Anatomy?,Aspect A related to Perineal Muscles,Aspect B related to Perineal Muscles,Aspect C related to Perineal Muscles,Correct aspect of Perineal Muscles,D,This is the correct explanation for the aspect of Perineal Muscles in Anatomy.,MEDIUM,Schwartz's Principles of Surgery
Forensic Medicine,Injury Patterns and Analysis,2,What is a key aspect of Injury Patterns and Analysis in the context of Forensic Medicine?,Aspect A related to Injury Patterns and Analysis,Aspect B related to Injury Patterns and Analysis,Aspect C related to Injury Patterns and Analysis,Correct aspect of Injury Patterns and Analysis,D,This is the correct explanation for the aspect of Injury Patterns and Analysis in Forensic Medicine.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Community Medicine,Epidemiology and Disease Outbreaks,1,What is a key aspect of Epidemiology and Disease Outbreaks in the context of Community Medicine?,Aspect A related to Epidemiology and Disease Outbreaks,Aspect B related to Epidemiology and Disease Outbreaks,Aspect C related to Epidemiology and Disease Outbreaks,Correct aspect of Epidemiology and Disease Outbreaks,D,This is the correct explanation for the aspect of Epidemiology and Disease Outbreaks in Community Medicine.,HARD,Robbins Basic Pathology
Biochemistry,Enzyme Kinetics and Inhibition,1,What is a key aspect of Enzyme Kinetics and Inhibition in the context of Biochemistry?,Aspect A related to Enzyme Kinetics and Inhibition,Aspect B related to Enzyme Kinetics and Inhibition,Aspect C related to Enzyme Kinetics and Inhibition,Correct aspect of Enzyme Kinetics and Inhibition,D,This is the correct explanation for the aspect of Enzyme Kinetics and Inhibition in Biochemistry.,EASY,Gray's Anatomy
Microbiology,Bacterial Cell Wall Structure,1,What is a key aspect of Bacterial Cell Wall Structure in the context of Microbiology?,Aspect A related to Bacterial Cell Wall Structure,Aspect B related to Bacterial Cell Wall Structure,Aspect C related to Bacterial Cell Wall Structure,Correct aspect of Bacterial Cell Wall Structure,D,This is the correct explanation for the aspect of Bacterial Cell Wall Structure in Microbiology.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Forensic Medicine,Postmortem Changes and Timing,2,What is a key aspect of Postmortem Changes and Timing in the context of Forensic Medicine?,Aspect A related to Postmortem Changes and Timing,Aspect B related to Postmortem Changes and Timing,Aspect C related to Postmortem Changes and Timing,Correct aspect of Postmortem Changes and Timing,D,This is the correct explanation for the aspect of Postmortem Changes and Timing in Forensic Medicine.,EASY,Schwartz's Principles of Surgery
Microbiology,Antimicrobial Resistance Mechanisms,1,What is a key aspect of Antimicrobial Resistance Mechanisms in the context of Microbiology?,Aspect A related to Antimicrobial Resistance Mechanisms,Aspect B related to Antimicrobial Resistance Mechanisms,Aspect C related to Antimicrobial Resistance Mechanisms,Correct aspect of Antimicrobial Resistance Mechanisms,D,This is the correct explanation for the aspect of Antimicrobial Resistance Mechanisms in Microbiology.,HARD,Gray's Anatomy
Biochemistry,Lipid Metabolism and Storage,2,What is a key aspect of Lipid Metabolism and Storage in the context of Biochemistry?,Aspect A related to Lipid Metabolism and Storage,Aspect B related to Lipid Metabolism and Storage,Aspect C related to Lipid Metabolism and Storage,Correct aspect of Lipid Metabolism and Storage,D,This is the correct explanation for the aspect of Lipid Metabolism and Storage in Biochemistry.,EASY,Schwartz's Principles of Surgery
Physiology,Respiratory System,1,What is a key aspect of Respiratory System in the context of Physiology?,Aspect A related to Respiratory System,Aspect B related to Respiratory System,Aspect C related to Respiratory System,Correct aspect of Respiratory System,D,This is the correct explanation for the aspect of Respiratory System in Physiology.,MEDIUM,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Forensic Medicine,Toxicology and Poisoning,1,What is a key aspect of Toxicology and Poisoning in the context of Forensic Medicine?,Aspect A related to Toxicology and Poisoning,Aspect B related to Toxicology and Poisoning,Aspect C related to Toxicology and Poisoning,Correct aspect of Toxicology and Poisoning,D,This is the correct explanation for the aspect of Toxicology and Poisoning in Forensic Medicine.,EASY,Guyton and Hall Textbook of Medical Physiology
Community Medicine,Environmental Health Hazards,1,What is a key aspect of Environmental Health Hazards in the context of Community Medicine?,Aspect A related to Environmental Health Hazards,Aspect B related to Environmental Health Hazards,Aspect C related to Environmental Health Hazards,Correct aspect of Environmental Health Hazards,D,This is the correct explanation for the aspect of Environmental Health Hazards in Community Medicine.,HARD,Schwartz's Principles of Surgery
Obstetrics,Pre-eclampsia,2,What is a key aspect of Pre-eclampsia in the context of Obstetrics?,Aspect A related to Pre-eclampsia,Aspect B related to Pre-eclampsia,Aspect C related to Pre-eclampsia,Correct aspect of Pre-eclampsia,D,This is the correct explanation for the aspect of Pre-eclampsia in Obstetrics.,EASY,Forensic Medicine: A Guide to Principles
Pathology,Genetic Disorders,1,What is a key aspect of Genetic Disorders in the context of Pathology?,Aspect A related to Genetic Disorders,Aspect B related to Genetic Disorders,Aspect C related to Genetic Disorders,Correct aspect of Genetic Disorders,D,This is the correct explanation for the aspect of Genetic Disorders in Pathology.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Community Medicine,Public Health Policies,1,What is a key aspect of Public Health Policies in the context of Community Medicine?,Aspect A related to Public Health Policies,Aspect B related to Public Health Policies,Aspect C related to Public Health Policies,Correct aspect of Public Health Policies,D,This is the correct explanation for the aspect of Public Health Policies in Community Medicine.,HARD,Lehninger Principles of Biochemistry
Pharmacology,Anticoagulants,1,What is a key aspect of Anticoagulants in the context of Pharmacology?,Aspect A related to Anticoagulants,Aspect B related to Anticoagulants,Aspect C related to Anticoagulants,Correct aspect of Anticoagulants,D,This is the correct explanation for the aspect of Anticoagulants in Pharmacology.,HARD,Robbins Basic Pathology
Pharmacology,Antihypertensives,1,What is a key aspect of Antihypertensives in the context of Pharmacology?,Aspect A related to Antihypertensives,Aspect B related to Antihypertensives,Aspect C related to Antihypertensives,Correct aspect of Antihypertensives,D,This is the correct explanation for the aspect of Antihypertensives in Pharmacology.,HARD,Lehninger Principles of Biochemistry
Physiology,Endocrine System,1,What is a key aspect of Endocrine System in the context of Physiology?,Aspect A related to Endocrine System,Aspect B related to Endocrine System,Aspect C related to Endocrine System,Correct aspect of Endocrine System,D,This is the correct explanation for the aspect of Endocrine System in Physiology.,HARD,Guyton and Hall Textbook of Medical Physiology
Pathology,Neoplasms,2,What is a key aspect of Neoplasms in the context of Pathology?,Aspect A related to Neoplasms,Aspect B related to Neoplasms,Aspect C related to Neoplasms,Correct aspect of Neoplasms,D,This is the correct explanation for the aspect of Neoplasms in Pathology.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Microbiology,Viral Replication Cycles,1,What is a key aspect of Viral Replication Cycles in the context of Microbiology?,Aspect A related to Viral Replication Cycles,Aspect B related to Viral Replication Cycles,Aspect C related to Viral Replication Cycles,Correct aspect of Viral Replication Cycles,D,This is the correct explanation for the aspect of Viral Replication Cycles in Microbiology.,HARD,Forensic Medicine: A Guide to Principles
Biochemistry,Protein Synthesis and Folding,2,What is a key aspect of Protein Synthesis and Folding in the context of Biochemistry?,Aspect A related to Protein Synthesis and Folding,Aspect B related to Protein Synthesis and Folding,Aspect C related to Protein Synthesis and Folding,Correct aspect of Protein Synthesis and Folding,D,This is the correct explanation for the aspect of Protein Synthesis and Folding in Biochemistry.,MEDIUM,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Pathology,Ovarian Tumors,2,What is a key aspect of Ovarian Tumors in the context of Pathology?,Aspect A related to Ovarian Tumors,Aspect B related to Ovarian Tumors,Aspect C related to Ovarian Tumors,Correct aspect of Ovarian Tumors,D,This is the correct explanation for the aspect of Ovarian Tumors in Pathology.,MEDIUM,Lehninger Principles of Biochemistry
Pathology,Infectious Diseases,1,What is a key aspect of Infectious Diseases in the context of Pathology?,Aspect A related to Infectious Diseases,Aspect B related to Infectious Diseases,Aspect C related to Infectious Diseases,Correct aspect of Infectious Diseases,D,This is the correct explanation for the aspect of Infectious Diseases in Pathology.,HARD,Dewhurst's Textbook of Obstetrics & Gynaecology
Forensic Medicine,Legal Aspects of Medical Practice,2,What is a key aspect of Legal Aspects of Medical Practice in the context of Forensic Medicine?,Aspect A related to Legal Aspects of Medical Practice,Aspect B related to Legal Aspects of Medical Practice,Aspect C related to Legal Aspects of Medical Practice,Correct aspect of Legal Aspects of Medical Practice,D,This is the correct explanation for the aspect of Legal Aspects of Medical Practice in Forensic Medicine.,EASY,Gray's Anatomy
Pharmacology,Tocolytics,2,What is a key aspect of Tocolytics in the context of Pharmacology?,Aspect A related to Tocolytics,Aspect B related to Tocolytics,Aspect C related to Tocolytics,Correct aspect of Tocolytics,D,This is the correct explanation for the aspect of Tocolytics in Pharmacology.,HARD,Forensic Medicine: A Guide to Principles
Physiology,Prolactin,1,What is a key aspect of Prolactin in the context of Physiology?,Aspect A related to Prolactin,Aspect B related to Prolactin,Aspect C related to Prolactin,Correct aspect of Prolactin,D,This is the correct explanation for the aspect of Prolactin in Physiology.,MEDIUM,Park's Textbook of Preventive and Social Medicine
Physiology,Menstrual Cycle,1,What is a key aspect of Menstrual Cycle in the context of Physiology?,Aspect A related to Menstrual Cycle,Aspect B related to Menstrual Cycle,Aspect C related to Menstrual Cycle,Correct aspect of Menstrual Cycle,D,This is the correct explanation for the aspect of Menstrual Cycle in Physiology.,EASY,Forensic Medicine: A Guide to Principles
Physiology,Nervous System,2,What is a key aspect of Nervous System in the context of Physiology?,Aspect A related to Nervous System,Aspect B related to Nervous System,Aspect C related to Nervous System,Correct aspect of Nervous System,D,This is the correct explanation for the aspect of Nervous System in Physiology.,EASY,Lehninger Principles of Biochemistry
Surgery,Anesthesia Types and Risks,2,What is a key aspect of Anesthesia Types and Risks in the context of Surgery?,Aspect A related to Anesthesia Types and Risks,Aspect B related to Anesthesia Types and Risks,Aspect C related to Anesthesia Types and Risks,Correct aspect of Anesthesia Types and Risks,D,This is the correct explanation for the aspect of Anesthesia Types and Risks in Surgery.,MEDIUM,Schwartz's Principles of Surgery
Pharmacology,Anticonvulsants,2,What is a key aspect of Anticonvulsants in the context of Pharmacology?,Aspect A related to Anticonvulsants,Aspect B related to Anticonvulsants,Aspect C related to Anticonvulsants,Correct aspect of Anticonvulsants,D,This is the correct explanation for the aspect of Anticonvulsants in Pharmacology.,EASY,Forensic Medicine: A Guide to Principles
Community Medicine,Disease Prevention Strategies,2,What is a key aspect of Disease Prevention Strategies in the context of Community Medicine?,Aspect A related to Disease Prevention Strategies,Aspect B related to Disease Prevention Strategies,Aspect C related to Disease Prevention Strategies,Correct aspect of Disease Prevention Strategies,D,This is the correct explanation for the aspect of Disease Prevention Strategies in Community Medicine.,HARD,Park's Textbook of Preventive and Social Medicine
Physiology,Renal Function,2,What is a key aspect of Renal Function in the context of Physiology?,Aspect A related to Renal Function,Aspect B related to Renal Function,Aspect C related to Renal Function,Correct aspect of Renal Function,D,This is the correct explanation for the aspect of Renal Function in Physiology.,MEDIUM,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Anatomy,Umbilical Cord,2,What is a key aspect of Umbilical Cord in the context of Anatomy?,Aspect A related to Umbilical Cord,Aspect B related to Umbilical Cord,Aspect C related to Umbilical Cord,Correct aspect of Umbilical Cord,D,This is the correct explanation for the aspect of Umbilical Cord in Anatomy.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Biochemistry,Metabolic Pathways and Regulation,1,What is a key aspect of Metabolic Pathways and Regulation in the context of Biochemistry?,Aspect A related to Metabolic Pathways and Regulation,Aspect B related to Metabolic Pathways and Regulation,Aspect C related to Metabolic Pathways and Regulation,Correct aspect of Metabolic Pathways and Regulation,D,This is the correct explanation for the aspect of Metabolic Pathways and Regulation in Biochemistry.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Community Medicine,Health Education Programs,2,What is a key aspect of Health Education Programs in the context of Community Medicine?,Aspect A related to Health Education Programs,Aspect B related to Health Education Programs,Aspect C related to Health Education Programs,Correct aspect of Health Education Programs,D,This is the correct explanation for the aspect of Health Education Programs in Community Medicine.,MEDIUM,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Pathology,Breast Cancer,2,What is a key aspect of Breast Cancer in the context of Pathology?,Aspect A related to Breast Cancer,Aspect B related to Breast Cancer,Aspect C related to Breast Cancer,Correct aspect of Breast Cancer,D,This is the correct explanation for the aspect of Breast Cancer in Pathology.,HARD,Guyton and Hall Textbook of Medical Physiology
Pharmacology,Antidiabetics,2,What is a key aspect of Antidiabetics in the context of Pharmacology?,Aspect A related to Antidiabetics,Aspect B related to Antidiabetics,Aspect C related to Antidiabetics,Correct aspect of Antidiabetics,D,This is the correct explanation for the aspect of Antidiabetics in Pharmacology.,EASY,Forensic Medicine: A Guide to Principles
Obstetrics,Labor Stages,1,What is a key aspect of Labor Stages in the context of Obstetrics?,Aspect A related to Labor Stages,Aspect B related to Labor Stages,Aspect C related to Labor Stages,Correct aspect of Labor Stages,D,This is the correct explanation for the aspect of Labor Stages in Obstetrics.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Anatomy,Uterine Artery,2,What is a key aspect of Uterine Artery in the context of Anatomy?,Aspect A related to Uterine Artery,Aspect B related to Uterine Artery,Aspect C related to Uterine Artery,Correct aspect of Uterine Artery,D,This is the correct explanation for the aspect of Uterine Artery in Anatomy.,MEDIUM,Schwartz's Principles of Surgery
Anatomy,Fetal Skull,2,What is a key aspect of Fetal Skull in the context of Anatomy?,Aspect A related to Fetal Skull,Aspect B related to Fetal Skull,Aspect C related to Fetal Skull,Correct aspect of Fetal Skull,D,This is the correct explanation for the aspect of Fetal Skull in Anatomy.,EASY,Forensic Medicine: A Guide to Principles
Obstetrics,Postpartum Hemorrhage,1,What is a key aspect of Postpartum Hemorrhage in the context of Obstetrics?,Aspect A related to Postpartum Hemorrhage,Aspect B related to Postpartum Hemorrhage,Aspect C related to Postpartum Hemorrhage,Correct aspect of Postpartum Hemorrhage,D,This is the correct explanation for the aspect of Postpartum Hemorrhage in Obstetrics.,HARD,Lehninger Principles of Biochemistry
Pathology,Inflammatory Diseases,2,What is a key aspect of Inflammatory Diseases in the context of Pathology?,Aspect A related to Inflammatory Diseases,Aspect B related to Inflammatory Diseases,Aspect C related to Inflammatory Diseases,Correct aspect of Inflammatory Diseases,D,This is the correct explanation for the aspect of Inflammatory Diseases in Pathology.,EASY,Gray's Anatomy
Microbiology,Fungal Infections and Treatment,2,What is a key aspect of Fungal Infections and Treatment in the context of Microbiology?,Aspect A related to Fungal Infections and Treatment,Aspect B related to Fungal Infections and Treatment,Aspect C related to Fungal Infections and Treatment,Correct aspect of Fungal Infections and Treatment,D,This is the correct explanation for the aspect of Fungal Infections and Treatment in Microbiology.,HARD,Park's Textbook of Preventive and Social Medicine
Physiology,Fetal Circulation,1,What is a key aspect of Fetal Circulation in the context of Physiology?,Aspect A related to Fetal Circulation,Aspect B related to Fetal Circulation,Aspect C related to Fetal Circulation,Correct aspect of Fetal Circulation,D,This is the correct explanation for the aspect of Fetal Circulation in Physiology.,HARD,Dewhurst's Textbook of Obstetrics & Gynaecology
